Time,PSZ-AC:1:Des Heat Mass Flow [kg/s],PSZ-AC:1:Des Cool Mass Flow [kg/s],PSZ-AC:1:Des Heat Cap [W],PSZ-AC:1:Des Sens Cool Cap [W],PSZ-AC:2:Des Heat Mass Flow [kg/s],PSZ-AC:2:Des Cool Mass Flow [kg/s],PSZ-AC:2:Des Heat Cap [W],PSZ-AC:2:Des Sens Cool Cap [W],PSZ-AC:3:Des Heat Mass Flow [kg/s],PSZ-AC:3:Des Cool Mass Flow [kg/s],PSZ-AC:3:Des Heat Cap [W],PSZ-AC:3:Des Sens Cool Cap [W],PSZ-AC:4:Des Heat Mass Flow [kg/s],PSZ-AC:4:Des Cool Mass Flow [kg/s],PSZ-AC:4:Des Heat Cap [W],PSZ-AC:4:Des Sens Cool Cap [W],PSZ-AC:5:Des Heat Mass Flow [kg/s],PSZ-AC:5:Des Cool Mass Flow [kg/s],PSZ-AC:5:Des Heat Cap [W],PSZ-AC:5:Des Sens Cool Cap [W] 
00:10:00,9.586716E-02,9.586716E-02,4.017084E+03,1.764049E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.337263E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.932818E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.337263E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.932818E+02 
00:20:00,9.586716E-02,9.586716E-02,4.017084E+03,1.750948E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.327332E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.873902E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.327332E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.873902E+02 
00:30:00,9.586716E-02,9.586716E-02,4.017084E+03,1.737846E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.317400E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.814986E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.317400E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.814986E+02 
00:40:00,9.586716E-02,9.586716E-02,4.017084E+03,1.724745E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.307468E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.756071E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.307468E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.756071E+02 
00:50:00,9.586716E-02,9.586716E-02,4.017084E+03,1.711644E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.297537E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.697155E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.297537E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.697155E+02 
01:00:00,9.586716E-02,9.586716E-02,4.017084E+03,1.698542E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.287605E+03,4.929232E-02,4.311086E-02,1.958815E+03,7.638239E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.287605E+03,4.918007E-02,4.311086E-02,1.956046E+03,7.638239E+02 
01:10:00,9.586716E-02,9.586716E-02,4.017084E+03,1.689808E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.280984E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.598962E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.280984E+03,4.311086E-02,4.311086E-02,1.806457E+03,7.598962E+02 
01:20:00,9.586716E-02,9.586716E-02,4.017084E+03,1.681074E+03,7.328395E-02,7.267352E-02,3.060179E+03,1.274363E+03,4.944519E-02,4.311086E-02,1.961794E+03,7.559685E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.274363E+03,4.933506E-02,4.311086E-02,1.959093E+03,7.559685E+02 
01:30:00,9.586716E-02,9.586716E-02,4.017084E+03,1.672340E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.267742E+03,4.694700E-02,4.311086E-02,1.900533E+03,7.520408E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.267742E+03,4.684290E-02,4.311086E-02,1.897980E+03,7.520408E+02 
01:40:00,9.586716E-02,9.586716E-02,4.017084E+03,1.663606E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.261121E+03,4.697845E-02,4.311086E-02,1.901302E+03,7.481131E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.261121E+03,4.687528E-02,4.311086E-02,1.898772E+03,7.481131E+02 
01:50:00,9.586716E-02,9.586716E-02,4.017084E+03,1.654871E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.254500E+03,4.701380E-02,4.311086E-02,1.902169E+03,7.441854E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.254500E+03,4.691160E-02,4.311086E-02,1.899662E+03,7.441854E+02 
02:00:00,9.586716E-02,9.586716E-02,4.017084E+03,1.646137E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.247879E+03,4.710841E-02,4.311086E-02,1.904488E+03,7.402577E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.247879E+03,4.700715E-02,4.311086E-02,1.902005E+03,7.402577E+02 
02:10:00,9.586716E-02,9.586716E-02,4.017084E+03,1.639587E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.242913E+03,4.725698E-02,4.311086E-02,1.908131E+03,7.373119E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.242913E+03,4.715664E-02,4.311086E-02,1.905671E+03,7.373119E+02 
02:20:00,9.586716E-02,9.586716E-02,4.017084E+03,1.633036E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.237947E+03,4.744384E-02,4.311086E-02,1.912713E+03,7.343661E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.237947E+03,4.734446E-02,4.311086E-02,1.910276E+03,7.343661E+02 
02:30:00,9.586716E-02,9.586716E-02,4.017084E+03,1.626485E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.232981E+03,4.765749E-02,4.311086E-02,1.917952E+03,7.314203E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.232981E+03,4.755914E-02,4.311086E-02,1.915540E+03,7.314203E+02 
02:40:00,9.586716E-02,9.586716E-02,4.017084E+03,1.619935E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.228015E+03,4.789039E-02,4.311086E-02,1.923663E+03,7.284746E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.228015E+03,4.779324E-02,4.311086E-02,1.921281E+03,7.284746E+02 
02:50:00,9.586716E-02,9.586716E-02,4.017084E+03,1.613384E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.223050E+03,4.813398E-02,4.311086E-02,1.929636E+03,7.255288E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.223050E+03,4.803854E-02,4.311086E-02,1.927296E+03,7.255288E+02 
03:00:00,9.586716E-02,9.586716E-02,4.017084E+03,1.606833E+03,7.267352E-02,7.267352E-02,3.045210E+03,1.218084E+03,4.838396E-02,4.311086E-02,1.935767E+03,7.225830E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.218084E+03,4.828881E-02,4.311086E-02,1.933433E+03,7.225830E+02 
03:10:00,9.586716E-02,9.586716E-02,4.017084E+03,1.600283E+03,7.296676E-02,7.267352E-02,3.052400E+03,1.213118E+03,4.864294E-02,4.311086E-02,1.942117E+03,7.196372E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.213118E+03,4.854820E-02,4.311086E-02,1.939794E+03,7.196372E+02 
03:20:00,9.586716E-02,9.586716E-02,4.017084E+03,1.593732E+03,7.343674E-02,7.267352E-02,3.063925E+03,1.208152E+03,4.890964E-02,4.311086E-02,1.948658E+03,7.166914E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.208152E+03,4.881475E-02,4.311086E-02,1.946331E+03,7.166914E+02 
03:30:00,9.586716E-02,9.586716E-02,4.017084E+03,1.587182E+03,7.390511E-02,7.267352E-02,3.075411E+03,1.203186E+03,4.918502E-02,4.311086E-02,1.955411E+03,7.137456E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.203186E+03,4.908967E-02,4.311086E-02,1.953073E+03,7.137456E+02 
03:40:00,9.586716E-02,9.586716E-02,4.017084E+03,1.580631E+03,7.435952E-02,7.267352E-02,3.086554E+03,1.198221E+03,4.946850E-02,4.311086E-02,1.962362E+03,7.107999E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.198221E+03,4.937226E-02,4.311086E-02,1.960002E+03,7.107999E+02 
03:50:00,9.586716E-02,9.586716E-02,4.017084E+03,1.574080E+03,7.481810E-02,7.267352E-02,3.097800E+03,1.193255E+03,4.976272E-02,4.311086E-02,1.969577E+03,7.078541E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.193255E+03,4.966484E-02,4.311086E-02,1.967177E+03,7.078541E+02 
04:00:00,9.586716E-02,9.586716E-02,4.017084E+03,1.567530E+03,7.527653E-02,7.267352E-02,3.109041E+03,1.188289E+03,5.006762E-02,4.311086E-02,1.977054E+03,7.049083E+02,7.267352E-02,7.267352E-02,3.045210E+03,1.188289E+03,4.996930E-02,4.311086E-02,1.974643E+03,7.049083E+02 
04:10:00,9.586716E-02,9.586716E-02,4.017084E+03,1.563163E+03,7.573873E-02,7.267352E-02,3.120375E+03,1.184978E+03,5.037744E-02,4.311086E-02,1.984651E+03,7.029444E+02,7.306515E-02,7.267352E-02,3.054813E+03,1.184978E+03,5.027834E-02,4.311086E-02,1.982221E+03,7.029444E+02 
04:20:00,9.586716E-02,9.586716E-02,4.017084E+03,1.558795E+03,7.620634E-02,7.267352E-02,3.131842E+03,1.181668E+03,5.069125E-02,4.311086E-02,1.992346E+03,7.009806E+02,7.359546E-02,7.267352E-02,3.067817E+03,1.181668E+03,5.059169E-02,4.311086E-02,1.989905E+03,7.009806E+02 
04:30:00,9.586716E-02,9.586716E-02,4.017084E+03,1.554428E+03,7.668268E-02,7.267352E-02,3.143523E+03,1.178357E+03,5.100747E-02,4.311086E-02,2.000101E+03,6.990167E+02,7.412018E-02,7.267352E-02,3.080685E+03,1.178357E+03,5.090749E-02,4.311086E-02,1.997649E+03,6.990167E+02 
04:40:00,9.586716E-02,9.586716E-02,4.017084E+03,1.550061E+03,7.717713E-02,7.267352E-02,3.155648E+03,1.175047E+03,5.132522E-02,4.311086E-02,2.007893E+03,6.970529E+02,7.463848E-02,7.267352E-02,3.093394E+03,1.175047E+03,5.122490E-02,4.311086E-02,2.005433E+03,6.970529E+02 
04:50:00,9.586716E-02,9.586716E-02,4.017084E+03,1.545694E+03,7.767243E-02,7.267352E-02,3.167794E+03,1.171736E+03,5.164368E-02,4.311086E-02,2.015702E+03,6.950890E+02,7.514965E-02,7.267352E-02,3.105929E+03,1.171736E+03,5.154307E-02,4.311086E-02,2.013235E+03,6.950890E+02 
05:00:00,9.586716E-02,9.586716E-02,4.017084E+03,1.541327E+03,7.817265E-02,7.267352E-02,3.180060E+03,1.168426E+03,5.196215E-02,4.311086E-02,2.023512E+03,6.931252E+02,7.565302E-02,7.267352E-02,3.118273E+03,1.168426E+03,5.186132E-02,4.311086E-02,2.021039E+03,6.931252E+02 
05:10:00,9.586716E-02,9.586716E-02,4.017084E+03,1.545694E+03,1.617408E-01,7.267352E-02,5.180478E+03,1.171736E+03,1.038005E-01,4.311086E-02,3.261629E+03,6.950890E+02,1.578282E-01,7.267352E-02,5.086570E+03,1.171736E+03,1.036676E-01,4.311086E-02,3.258439E+03,6.950890E+02 
05:20:00,1.170000E-01,9.586716E-02,4.427981E+03,1.550061E+03,2.348059E-01,7.267352E-02,6.782804E+03,1.175047E+03,1.502614E-01,4.311086E-02,4.277339E+03,6.970529E+02,2.300310E-01,7.267352E-02,6.672347E+03,1.175047E+03,1.501096E-01,4.311086E-02,4.273827E+03,6.970529E+02 
05:30:00,1.814482E-01,9.586716E-02,5.681073E+03,1.554428E+03,3.179211E-01,7.267352E-02,8.476997E+03,1.178357E+03,2.019501E-01,4.311086E-02,5.325606E+03,6.990167E+02,3.125924E-01,7.267352E-02,8.358396E+03,1.178357E+03,2.017847E-01,4.311086E-02,5.321922E+03,6.990167E+02 
05:40:00,2.261779E-01,9.586716E-02,6.550770E+03,1.558795E+03,3.837309E-01,7.267352E-02,9.653419E+03,1.181668E+03,2.433047E-01,4.311086E-02,6.060879E+03,7.009806E+02,3.777221E-01,7.267352E-02,9.525037E+03,1.181668E+03,2.431222E-01,4.311086E-02,6.056979E+03,7.009806E+02 
05:50:00,2.698414E-01,9.586716E-02,7.399736E+03,1.563163E+03,4.470644E-01,7.267352E-02,1.066045E+04,1.184978E+03,2.829276E-01,4.311086E-02,6.686125E+03,7.029444E+02,4.404061E-01,7.267352E-02,1.052415E+04,1.184978E+03,2.827288E-01,4.311086E-02,6.682053E+03,7.029444E+02 
06:00:00,3.119288E-01,9.586716E-02,8.218060E+03,1.567530E+03,5.083056E-01,7.267352E-02,1.151223E+04,1.188289E+03,3.211304E-01,4.311086E-02,7.212068E+03,7.049083E+02,5.010119E-01,7.267352E-02,1.136946E+04,1.188289E+03,3.209154E-01,4.311086E-02,7.207857E+03,7.049083E+02 
06:10:00,2.831284E-01,1.256505E-01,7.585558E+03,2.018022E+03,4.721261E-01,1.294672E-01,1.066693E+04,2.079039E+03,2.986850E-01,8.645237E-02,6.683845E+03,1.394680E+03,4.655967E-01,1.257413E-01,1.054187E+04,2.009972E+03,2.984858E-01,8.338609E-02,6.680030E+03,1.346263E+03 
06:20:00,2.753867E-01,1.309761E-01,7.444499E+03,2.088032E+03,4.450444E-01,1.587702E-01,1.015633E+04,2.473432E+03,2.806746E-01,1.185016E-01,6.343197E+03,1.842567E+03,4.387527E-01,1.538344E-01,1.003619E+04,2.388213E+03,2.804783E-01,1.076265E-01,6.339448E+03,1.678545E+03 
06:30:00,2.497199E-01,2.429707E-01,6.954486E+03,3.568929E+03,4.067398E-01,2.772312E-01,9.424844E+03,4.052397E+03,2.566534E-01,2.071557E-01,5.884458E+03,3.029282E+03,4.003838E-01,2.691458E-01,9.303472E+03,3.919034E+03,2.564548E-01,1.857886E-01,5.880667E+03,2.722976E+03 
06:40:00,2.430027E-01,3.234182E-01,6.826242E+03,4.502439E+03,3.847335E-01,3.686996E-01,9.004352E+03,5.083331E+03,2.422988E-01,2.791434E-01,5.610180E+03,3.838964E+03,3.784469E-01,3.575038E-01,8.884306E+03,4.918414E+03,2.420990E-01,2.468575E-01,5.606365E+03,3.404904E+03 
06:50:00,2.366896E-01,4.020040E-01,6.705710E+03,5.305698E+03,3.643233E-01,4.571986E-01,8.614392E+03,5.924460E+03,2.290950E-01,3.494231E-01,5.357910E+03,4.495222E+03,3.580834E-01,4.422216E-01,8.495240E+03,5.729995E+03,2.288953E-01,3.054784E-01,5.354098E+03,3.947870E+03 
07:00:00,2.313755E-01,4.782219E-01,6.604251E+03,5.975863E+03,3.452242E-01,5.432914E-01,8.249533E+03,6.588463E+03,2.167993E-01,4.185307E-01,5.123022E+03,5.005043E+03,3.390267E-01,5.236233E-01,8.131194E+03,6.363880E+03,2.166000E-01,3.621809E-01,5.119216E+03,4.363690E+03 
07:10:00,2.268674E-01,4.268647E-01,6.518182E+03,5.421242E+03,3.397759E-01,4.982236E-01,8.145371E+03,6.075295E+03,2.131731E-01,4.004798E-01,5.053699E+03,4.784812E+03,3.336188E-01,4.766718E-01,8.027805E+03,5.832760E+03,2.129742E-01,3.340862E-01,5.049900E+03,4.037599E+03 
07:20:00,2.229899E-01,4.942416E-01,6.444151E+03,6.216532E+03,3.350925E-01,5.520488E-01,8.055851E+03,6.709129E+03,2.100728E-01,4.363479E-01,4.994441E+03,5.205116E+03,3.289740E-01,5.254693E-01,7.939026E+03,6.410018E+03,2.098742E-01,3.640443E-01,4.990649E+03,4.391401E+03 
07:30:00,2.196051E-01,4.536185E-01,6.379527E+03,5.796448E+03,3.309898E-01,5.160998E-01,7.977447E+03,6.332587E+03,2.073725E-01,4.152021E-01,4.942836E+03,4.983726E+03,3.249081E-01,4.858280E-01,7.861325E+03,5.991927E+03,2.071742E-01,3.392222E-01,4.939050E+03,4.128667E+03 
07:40:00,2.166126E-01,4.434373E-01,6.322393E+03,5.719027E+03,3.273418E-01,5.072994E-01,7.907749E+03,6.261588E+03,2.049840E-01,4.104399E-01,4.897203E+03,4.946766E+03,3.212952E-01,4.722767E-01,7.792298E+03,5.867462E+03,2.047886E-01,3.308185E-01,4.893472E+03,4.050734E+03 
07:50:00,2.139344E-01,4.342043E-01,6.271260E+03,5.652259E+03,3.240544E-01,5.022167E-01,7.844955E+03,6.232517E+03,2.028431E-01,4.072195E-01,4.856310E+03,4.927234E+03,3.180420E-01,4.617166E-01,7.730159E+03,5.776745E+03,2.026485E-01,3.243327E-01,4.852596E+03,3.994441E+03 
08:00:00,2.115093E-01,4.265818E-01,6.224959E+03,5.603607E+03,3.210556E-01,5.007268E-01,7.787683E+03,6.243895E+03,2.008995E-01,4.050101E-01,4.819193E+03,4.919081E+03,3.150763E-01,4.540526E-01,7.673518E+03,5.718636E+03,2.007056E-01,3.193974E-01,4.815490E+03,3.955603E+03 
08:10:00,2.092893E-01,4.202524E-01,6.182574E+03,5.573868E+03,3.182901E-01,5.022889E-01,7.734874E+03,6.292922E+03,1.991152E-01,4.034625E-01,4.785120E+03,4.920323E+03,3.123428E-01,4.486945E-01,7.621319E+03,5.689783E+03,1.989217E-01,3.155887E-01,4.781426E+03,3.931398E+03 
08:20:00,2.072410E-01,4.149807E-01,6.143467E+03,5.556030E+03,3.157200E-01,5.065247E-01,7.685797E+03,6.372032E+03,1.974636E-01,4.024022E-01,4.753582E+03,4.927040E+03,3.098036E-01,4.450055E-01,7.572833E+03,5.679710E+03,1.972705E-01,3.126467E-01,4.749896E+03,3.916940E+03 
08:30:00,2.053331E-01,4.105836E-01,6.107042E+03,5.548032E+03,3.133109E-01,5.127632E-01,7.639797E+03,6.473678E+03,1.959209E-01,4.017708E-01,4.724126E+03,4.938585E+03,3.074245E-01,4.423770E-01,7.527405E+03,5.681571E+03,1.957282E-01,3.103913E-01,4.720448E+03,3.910209E+03 
08:40:00,2.035413E-01,4.068944E-01,6.072832E+03,5.548002E+03,3.110361E-01,5.201763E-01,7.596360E+03,6.588549E+03,1.944688E-01,4.014502E-01,4.696401E+03,4.953630E+03,3.051787E-01,4.405064E-01,7.484524E+03,5.691965E+03,1.942765E-01,3.086824E-01,4.692729E+03,3.909631E+03 
08:50:00,2.018468E-01,4.037677E-01,6.040481E+03,5.554301E+03,3.088752E-01,5.281026E-01,7.555102E+03,6.709196E+03,1.930934E-01,4.013215E-01,4.670139E+03,4.970837E+03,3.030462E-01,4.392226E-01,7.443806E+03,5.708963E+03,1.929014E-01,3.074102E-01,4.666473E+03,3.913969E+03 
09:00:00,2.002349E-01,4.010830E-01,6.009706E+03,5.565574E+03,3.068126E-01,5.360373E-01,7.515719E+03,6.829940E+03,1.917836E-01,4.013649E-01,4.645131E+03,4.989981E+03,3.010111E-01,4.383305E-01,7.404948E+03,5.730373E+03,1.915920E-01,3.064407E-01,4.641471E+03,3.921714E+03 
09:10:00,1.986939E-01,3.987426E-01,5.980284E+03,5.576356E+03,3.048356E-01,5.437232E-01,7.477971E+03,6.944574E+03,1.905309E-01,4.014166E-01,4.621211E+03,5.007256E+03,2.990609E-01,4.377138E-01,7.367712E+03,5.751570E+03,1.903395E-01,3.056941E-01,4.617558E+03,3.930003E+03 
09:20:00,1.972103E-01,3.966698E-01,5.951958E+03,5.590148E+03,3.029301E-01,5.510575E-01,7.441588E+03,7.055252E+03,1.893255E-01,4.014051E-01,4.598197E+03,5.023820E+03,2.971814E-01,4.373168E-01,7.331826E+03,5.775241E+03,1.891345E-01,3.051297E-01,4.594550E+03,3.940344E+03 
09:30:00,1.957783E-01,3.948051E-01,5.924619E+03,5.606282E+03,3.010897E-01,5.580205E-01,7.406449E+03,7.161752E+03,1.881632E-01,4.012888E-01,4.576003E+03,5.039203E+03,2.953663E-01,4.370865E-01,7.297171E+03,5.800787E+03,1.879724E-01,3.047072E-01,4.572362E+03,3.952282E+03 
09:40:00,1.943932E-01,3.931031E-01,5.898174E+03,5.624247E+03,2.993094E-01,5.646426E-01,7.372457E+03,7.264416E+03,1.870402E-01,4.010294E-01,4.554562E+03,5.052976E+03,2.936107E-01,4.369816E-01,7.263650E+03,5.827746E+03,1.868497E-01,3.043952E-01,4.550926E+03,3.965462E+03 
09:50:00,1.930503E-01,3.915292E-01,5.872535E+03,5.643655E+03,2.975841E-01,5.709787E-01,7.339516E+03,7.363862E+03,1.859531E-01,4.005989E-01,4.533807E+03,5.064824E+03,2.919095E-01,4.369709E-01,7.231169E+03,5.855765E+03,1.857630E-01,3.041687E-01,4.530176E+03,3.979606E+03 
10:00:00,1.917457E-01,3.900571E-01,5.847627E+03,5.664208E+03,2.959099E-01,5.769202E-01,7.307549E+03,7.458867E+03,1.848993E-01,3.998828E-01,4.513685E+03,5.073457E+03,2.902587E-01,4.370867E-01,7.199649E+03,5.885207E+03,1.847094E-01,3.040487E-01,4.510060E+03,3.994948E+03 
10:10:00,1.904763E-01,3.886660E-01,5.823392E+03,5.681306E+03,2.942831E-01,5.825960E-01,7.276490E+03,7.547571E+03,1.838762E-01,3.989638E-01,4.494151E+03,5.077844E+03,2.886547E-01,4.372809E-01,7.169024E+03,5.912221E+03,1.836866E-01,3.039984E-01,4.490531E+03,4.009111E+03 
10:20:00,1.892395E-01,3.873413E-01,5.799778E+03,5.699151E+03,2.927010E-01,5.881055E-01,7.246281E+03,7.634403E+03,1.828820E-01,3.979008E-01,4.475168E+03,5.080610E+03,2.870947E-01,4.375260E-01,7.139239E+03,5.939807E+03,1.826926E-01,3.039961E-01,4.471552E+03,4.023813E+03 
10:30:00,1.880331E-01,3.860732E-01,5.776745E+03,5.717633E+03,2.911609E-01,5.934487E-01,7.216876E+03,7.719364E+03,1.819148E-01,3.967354E-01,4.456702E+03,5.082224E+03,2.855762E-01,4.378116E-01,7.110246E+03,5.967851E+03,1.817257E-01,3.040328E-01,4.453091E+03,4.038955E+03 
10:40:00,1.868553E-01,3.848543E-01,5.754257E+03,5.736669E+03,2.896608E-01,5.986432E-01,7.188233E+03,7.802651E+03,1.809733E-01,3.955115E-01,4.438726E+03,5.083179E+03,2.840971E-01,4.381313E-01,7.082003E+03,5.996277E+03,1.807845E-01,3.041013E-01,4.435120E+03,4.054454E+03 
10:50:00,1.857044E-01,3.836796E-01,5.732284E+03,5.756203E+03,2.881986E-01,6.037035E-01,7.160316E+03,7.884428E+03,1.800563E-01,3.942544E-01,4.421216E+03,5.083760E+03,2.826553E-01,4.384812E-01,7.054476E+03,6.025043E+03,1.798676E-01,3.041967E-01,4.417614E+03,4.070257E+03 
11:00:00,1.845792E-01,3.825456E-01,5.710801E+03,5.776193E+03,2.867729E-01,6.087307E-01,7.133094E+03,7.965832E+03,1.791625E-01,3.930495E-01,4.404151E+03,5.084929E+03,2.812494E-01,4.388027E-01,7.027632E+03,6.053490E+03,1.789741E-01,3.042752E-01,4.400554E+03,4.085869E+03 
11:10:00,1.834783E-01,3.814496E-01,5.689784E+03,5.785695E+03,2.853820E-01,6.135873E-01,7.106538E+03,8.037041E+03,1.782910E-01,3.917117E-01,4.387512E+03,5.079693E+03,2.798778E-01,4.390849E-01,7.001444E+03,6.073219E+03,1.781028E-01,3.043290E-01,4.383919E+03,4.096294E+03 
11:20:00,1.824010E-01,3.803880E-01,5.669214E+03,5.795583E+03,2.840247E-01,6.182216E-01,7.080622E+03,8.105747E+03,1.774410E-01,3.900270E-01,4.371281E+03,5.070553E+03,2.785392E-01,4.393344E-01,6.975886E+03,6.092578E+03,1.772530E-01,3.043621E-01,4.367692E+03,4.106486E+03 
11:30:00,1.813461E-01,3.793559E-01,5.649074E+03,5.805803E+03,2.826997E-01,6.225864E-01,7.055324E+03,8.171421E+03,1.766116E-01,3.877359E-01,4.355445E+03,5.054589E+03,2.772324E-01,4.395472E-01,6.950935E+03,6.111526E+03,1.764238E-01,3.043724E-01,4.351860E+03,4.116420E+03 
11:40:00,1.803129E-01,3.783471E-01,5.629348E+03,5.816286E+03,2.814060E-01,6.266620E-01,7.030623E+03,8.233839E+03,1.758020E-01,3.845508E-01,4.339989E+03,5.028563E+03,2.759563E-01,4.397190E-01,6.926570E+03,6.130012E+03,1.756145E-01,3.043587E-01,4.336408E+03,4.126085E+03 
11:50:00,1.793006E-01,3.773554E-01,5.610022E+03,5.826960E+03,2.801425E-01,6.304240E-01,7.006498E+03,8.292729E+03,1.750118E-01,3.802474E-01,4.324900E+03,4.989953E+03,2.747099E-01,4.398445E-01,6.902772E+03,6.147978E+03,1.748244E-01,3.043196E-01,4.321322E+03,4.135465E+03 
