Name,EP_type,Roughness,Conductivity {W/m-K},Density {kg/m3},Specific Heat {J/kg-K},Thermal Absorptance,Solar Absorptance,Visible Absorptance,Porosity,Initial Water,Niso,Rhiso,Wiso,Nsuc,Wsuc,Dsuc,Nred,Wred,Dred,Nmu,Rhmu,Dmu,Nthm,Wthm,Dthm,EMPD depth(m),"EMPD ""a""","EMPD ""b""","EMPD ""c""","EMPD ""d""",Solar T,F Solar Reflec,B Solar Reflec,Vis Transmittance,F Vis Reflec,B Vis Reflec,Infrared Trans,F IR Emiss,B IR Emmis,EP_Special,Solar Transmittance,Solar Reflectance,Visible Transmittance,Visible Reflectance,Thermal Hemispherical Emissivity,Thermal Transmittance,Shade to Glass Distance {m},Top Opening Multiplier,Bottom Opening Multiplier,Left-Side Opening Multiplier,Right-Side Opening Multiplier,Airflow Permeability,Slat Orientaion,Slat Width,Slat Separation,Slat Angle,Blind to Glass Dist,Thickness,thermal resistance m2K/w,Solar heat gain coefficient,U-factor,sigma conductivity,lower,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External walls (outside to inside),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brick (200mm),Material,MediumRough,0.9,1845,840,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.09,0.63,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air cavity 50 wall,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.15,,,0.015,0.105,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The visible absorptance field in the Material input syntax represents the fraction of incident visible wavelength radiation that is absorbed by the material. Visible wavelength radiation is slightly different than solar radiation in that the visible band of wavelengths is much more narrow while solar radiation includes the visible spectrum as well as infrared and ultraviolet wavelengths. This parameter is used when calculating the amount of incident visible radiation absorbed by various surfaces and affects the surface heat balances (both inside and outside as appropriate) as well as the daylighting calculations. If visible reflectance (or reflectivity) data is available, then absorptance is equal to 1.0 minus reflectance (for opaque materials). Values for this field must be between 0.0 and 1.0.",,,,,,,
Brick (100mm),Material,MediumRough,0.9,1845,840,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.09,0.63,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air cavity 10 wall,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.15,,,0.015,0.105,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InsulationCelotex,Material,MediumRough,0.022,50.4,840,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.0022,0.0154,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H&S Vol 1, page 488, clause K10/190",,,,,,,https://www.travisperkins.co.uk/Celotex-PIR-Insulation-Board-40mm-x-1200mm-x-2400mm/p/778038
Plasterboard,Material,MediumSmooth,0.035,670,800,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,0.0035,0.0245,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External walls 6th floor toilets (outside to inside),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDF board,Material,MediumSmooth,0.3,750,1700,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.03,0.21,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.makeitfrom.com/material-properties/Medium-Density-Fiberboard-MDF
Air cavity 10 wall,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.15,,,0.015,0.105,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insulation Celotex,Material,MediumRough,0.022,50.4,840,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.0022,0.0154,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasterboard,Material,MediumSmooth,0.035,670,800,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,0.0035,0.0245,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposed Floor (outside to inside),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CastConcrete 300mm,Material,MediumRough,0.2,1900,930,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.02,0.14,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConcreteDeck 50mm,Material,MediumRough,0.2,1900,930,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.02,0.14,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Roof (Outside to inside),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asphalt,Material,VeryRough,0.16,1121.29,1460,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.016,0.112,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CastConcrete 300mm,Material,MediumRough,0.2,1900,930,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.02,0.14,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InsulationCelotex,Material,MediumRough,0.022,50.4,840,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.0022,0.0154,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasterboard,Material,MediumSmooth,0.035,670,800,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,0.0035,0.0245,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal partition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasterboard,Material,MediumSmooth,0.035,670,800,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,0.0035,0.0245,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air cavity 10 wall,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.15,,,0.015,0.105,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InsulationPartition,Material,MediumRough,0.035,33,840,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,0.0035,0.0245,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air cavity 10 wall,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.15,,,0.015,0.105,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasterboard,Material,MediumSmooth,0.035,670,800,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,0.0035,0.0245,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal ceiling (up - down),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpet,Material:NoMass,Smooth,,,,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.01,0.07,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plywood 40mm,Material,MediumSmooth,0.15,608,1630,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.015,0.105,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air cavity 130 floor,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.18,,,0.018,0.126,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CastConcrete 300mm,Material,MediumRough,0.2,1900,930,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.02,0.14,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air cavity 350 ceiling,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.18,,,0.018,0.126,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasterboard,Material,MediumSmooth,0.035,670,800,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,0.0035,0.0245,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External window (outside to inside),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SingleAndSecondaryGlazing,WindowMaterial:SimpleGlazingSystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,0.006,,0.54,2.91,0.291,2.037,3.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary glazing (horizontal sliding),,L10/580,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0068,,,,0.291,2.037,3.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H&S Vol 1, page 535, clause L10/580",,,,,,,http://www.selectaglaze.co.uk/products/series10-slimline-horizontal-sliding
SolsticeVenetianBlind,WindowMaterial:Blind,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,154.7,287.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shading Control,"WindowProperty:ShadingControl,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
