0,1,2,3,4,5,6,7,8,9
Name,Object Name,Command,Axis,xx,yy,zz,L1,L2,hh
Blank,,,,,,,,,
,,,,,,,,,
Woods_Abs,Trunk1,Create-Abs,0,20,0,0,0.5,0.5,7
,Leaves1,Create-Abs,0,19.25,0.75,7,2,2,6
,,,,,,,,,
,,,,,,,,,
Woods_Rel,Trunk1,Create-Rel,0,2,0,0,0.5,0.5,7
,Leaves1,Create-Rel,0,2,0.75,7,2,2,6
,,,,,,,,,
End-Terrace,House1,Copy-Rel,0,1,0,0,0,0,0
,House2,Copy-Rel,0,2,0,0,0,0,0
,,,,,,,,,
Mid-Terrace,House1,Mirror-Rel,0,1,0,0,0,0,0
,House2,Mirror-Rel,0,-1,0,0,0,0,0
,,,,,,,,,
Semi,House1,Mirror-Rel,0,1,0,0,0,0,0
,,,,,,,,,
Detached,House1,Copy-Rel,0,-2,2,0,0,0,0
,House2,Copy-Rel,0,0,2,0,0,0,0
,House3,Copy-Rel,0,2,2,0,0,0,0
,House4,Copy-Rel,0,-2,0,0,0,0,0
,House5,Copy-Rel,0,2,0,0,0,0,0
,House6,Copy-Rel,0,-2,-2,0,0,0,0
,House7,Copy-Rel,0,0,-2,0,0,0,0
,House8,Copy-Rel,0,2,-2,0,0,0,0
,,,,,,,,,
HighRise,House1,Mirror-Rel,0,-1,0,0,0,0,0
,House2,Copy-Rel,0,0,1,0,0,0,0
,Block1,Create-Abs,0,-8.5,-15,0,15,15,0